Issue Type,Summary,Description,Acceptance Criteria,Epic Link,Labels,Priority
Epic,Authentication & Multi-Company,"Implement user authentication (email/password, Google OAuth), multi-company support, onboarding wizard, team invitations, and company switching.",,,,High
Story,Email/Password Sign-Up,"As a new user, I want to sign up with my email and password so that I can create an account and access the platform.","- User can enter email and password on /auth page
- Validation prevents weak passwords and invalid email formats
- Successful sign-up creates auth.users and profiles records
- User is redirected to onboarding wizard
- Duplicate email shows appropriate error message",Authentication & Multi-Company,auth,High
Story,Google OAuth Sign-In,"As a user, I want to sign in with my Google account so that I can access the platform without managing another password.","- Google sign-in button is visible on /auth page
- Clicking initiates Google OAuth consent flow
- Successful auth creates or links account
- User is redirected to dashboard (existing company) or onboarding (new user)
- OAuth errors display user-friendly messages",Authentication & Multi-Company,auth,Medium
Story,Company Creation via Onboarding,"As a new user, I want to create my company workspace so that I can start managing my clients and documents.","- Onboarding wizard has 3 steps: niche selection, company name, user profile
- Niche options: Migration, Audit, HR
- Company record created with selected niche
- User added as owner in company_members
- Profile display name saved
- Redirect to niche-specific dashboard on completion",Authentication & Multi-Company,auth onboarding,High
Story,Company Switching,"As a multi-company user, I want to switch between my companies so that I can manage different workspaces.","- CompanySwitcher dropdown visible in sidebar when user belongs to 2+ companies
- Selecting a company changes the active context
- All data reloads for the selected company
- Current company name displayed in switcher",Authentication & Multi-Company,multi-company,Medium
Story,Team Member Invitation,"As a company owner or admin, I want to invite team members by email so that they can join my workspace.","- Invitation form accepts email and role (admin, member, guest)
- Invitation record created in team_invitations with status 'pending'
- Only owners and admins can send invitations
- Duplicate email for same company shows error
- Pending invitations visible in team members list",Authentication & Multi-Company,team,High
Story,Pending Invitation Acceptance,"As an invited user, I want to automatically join a company when I log in so that I don't need a separate acceptance flow.","- On login, system checks team_invitations for matching email
- Matching pending invitation auto-creates company_members record
- Invitation status updated to 'accepted'
- User can access the company immediately",Authentication & Multi-Company,team,Medium
Story,Protected Route Guard,"As a system, I want to prevent unauthenticated users from accessing protected pages so that data remains secure.","- Unauthenticated users redirected to /auth
- Auth state checked before rendering protected routes
- Loading state shown during auth check
- Deep links preserved after authentication",Authentication & Multi-Company,auth security,High
Epic,Client Management,"Manage client records including personal and corporate types, with CRUD operations, related applicants, and Google Drive folder status tracking.",,,,High
Story,Client List View,"As a team member, I want to see all my company's clients in a list so that I can find and manage them.","- Client list shows name, type, email, folder status
- Search filters clients by name or email
- List loads only clients for active company
- Empty state shown when no clients exist",Client Management,clients,High
Story,Create Personal Client,"As a team member, I want to create a personal client record so that I can manage their visa application documents.","- Form collects: first name, last name, email, phone, nationality, passport number, date of birth
- Client type set to 'personal'
- Company_id auto-set to active company
- Automation event triggered for folder creation
- Client appears in list after creation",Client Management,clients,High
Story,Create Corporate Client,"As a team member, I want to create a corporate client record so that I can manage a business entity's applications.","- Form collects: company name, email, phone
- Client type set to 'corporate'
- First/last name fields hidden for corporate type
- Company_id auto-set to active company
- Automation event triggered for folder creation",Client Management,clients,High
Story,Client Detail View,"As a team member, I want to view a client's full profile and their applications so that I can manage their case.","- Detail page shows all client fields
- Associated visa applications listed
- Related applicants section visible
- Folder status indicator shown
- Edit and delete actions available based on role",Client Management,clients,Medium
